neuron_id,spike_time_ms
98,0.0
53,1.0
58,1.0
84,1.0
85,1.0
95,1.0
50,2.0
54,2.0
55,2.0
57,2.0
59,2.0
60,2.0
62,2.0
63,2.0
64,2.0
66,2.0
67,2.0
69,2.0
70,2.0
72,2.0
74,2.0
75,2.0
79,2.0
80,2.0
82,2.0
83,2.0
86,2.0
88,2.0
91,2.0
96,2.0
97,2.0
99,2.0
51,3.0
52,3.0
56,3.0
61,3.0
65,3.0
68,3.0
73,3.0
76,3.0
77,3.0
78,3.0
81,3.0
90,3.0
92,3.0
93,3.0
94,3.0
107,3.0
13,4.0
71,4.0
87,4.0
89,4.0
116,4.0
2,5.0
4,5.0
1,6.0
3,6.0
6,6.0
7,6.0
10,6.0
12,6.0
15,6.0
17,6.0
18,6.0
20,6.0
22,6.0
24,6.0
27,6.0
28,6.0
33,6.0
35,6.0
36,6.0
37,6.0
41,6.0
42,6.0
46,6.0
48,6.0
49,6.0
100,6.0
101,6.0
102,6.0
111,6.0
114,6.0
117,6.0
118,6.0
119,6.0
121,6.0
122,6.0
123,6.0
124,6.0
127,6.0
133,6.0
134,6.0
137,6.0
138,6.0
140,6.0
147,6.0
149,6.0
0,7.0
5,7.0
16,7.0
19,7.0
21,7.0
23,7.0
25,7.0
26,7.0
29,7.0
30,7.0
31,7.0
32,7.0
34,7.0
38,7.0
39,7.0
43,7.0
44,7.0
45,7.0
103,7.0
104,7.0
106,7.0
108,7.0
110,7.0
112,7.0
113,7.0
125,7.0
126,7.0
128,7.0
129,7.0
131,7.0
132,7.0
135,7.0
136,7.0
139,7.0
141,7.0
142,7.0
143,7.0
144,7.0
145,7.0
148,7.0
8,8.0
9,8.0
11,8.0
14,8.0
40,8.0
47,8.0
105,8.0
109,8.0
115,8.0
120,8.0
130,8.0
146,8.0
160,8.0
170,9.0
175,9.0
176,9.0
150,10.0
152,10.0
155,10.0
156,10.0
157,10.0
158,10.0
159,10.0
161,10.0
162,10.0
165,10.0
166,10.0
167,10.0
168,10.0
169,10.0
172,10.0
177,10.0
178,10.0
180,10.0
181,10.0
186,10.0
189,10.0
194,10.0
151,11.0
153,11.0
154,11.0
164,11.0
171,11.0
173,11.0
174,11.0
179,11.0
182,11.0
183,11.0
184,11.0
185,11.0
187,11.0
188,11.0
190,11.0
191,11.0
192,11.0
195,11.0
196,11.0
197,11.0
198,11.0
199,11.0
163,12.0
193,12.0
